Borítókép;Cím;Év;Játékidő [perc];Értékelés;Link
https://m.media-amazon.com/images/M/MV5BNDk3MzYyMjU5NF5BMl5BanBnXkFtZTgwNzQ5MDkzMzE@._V1_QL75_UY148_CR3,0,100,148_.jpg;Van valami furcsa és megmagyarázhatatlan;2014;90;6;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=1055s
https://m.media-amazon.com/images/M/MV5BOTVjYjgxNDgtOTkzMy00NDIwLWE0OGUtNDVkY2M1YTZjYzVhXkEyXkFqcGdeQXVyMjE4OTI5Njk@._V1_QL75_UY148_CR2,0,100,148_.jpg;Drága Elza!;2014;96;4;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=1277s
https://m.media-amazon.com/images/M/MV5BMjQxMzEzMzEyNV5BMl5BanBnXkFtZTgwMzI4MDY0NTE@._V1_QL75_UY148_CR2,0,100,148_.jpg;SWING;2014;117;3;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=1545s
https://m.media-amazon.com/images/M/MV5BMjEyOTQ2ODExN15BMl5BanBnXkFtZTgwMDUyNTY5MzE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Dumapárbaj;2014;88;2;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=1715s
https://m.media-amazon.com/images/M/MV5BY2I2MGY1ZTEtNTFiZS00NTk5LTgwN2MtYzMwYTdmZWU0YTk4XkEyXkFqcGdeQXVyMjMxOTA1NjA@._V1_QL75_UX100_CR0,1,100,148_.jpg;Bodom;2014;65;-1;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=1934s
https://m.media-amazon.com/images/M/MV5BZDYyZmViMmUtOTQzMy00ZjZkLWI1NTAtMmJlOTA1ZmRmMzNiXkEyXkFqcGdeQXVyMzA5MzY3MjY@._V1_QL75_UY148_CR2,0,100,148_.jpg;Magánterület;2015;90;0;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=1973s
https://m.media-amazon.com/images/M/MV5BMTgxMDcxMjY1NV5BMl5BanBnXkFtZTgwMzUzMDMwNTE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Feketerigó;2015;67;4;https://www.youtube.com/watch?v=05W_jce4wAA&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=7&t=144s
https://m.media-amazon.com/images/M/MV5BMDEyODBhMjgtN2VhMi00OTFkLTkzMWUtMmZjMDc2ZGIwZmNiXkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;A fekete múmia átka;2015;62;7;https://www.youtube.com/watch?v=05W_jce4wAA&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=7&t=385s
https://media.port.hu/images/000/813/400x400/081.jpg;Új esély;2015;102;0;https://www.youtube.com/watch?v=05W_jce4wAA&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=7&t=732s
https://m.media-amazon.com/images/M/MV5BM2QyMTRmMTktY2MxZC00MjcxLTgxYzItZmIyYjQ0OGE1OTFmXkEyXkFqcGdeQXVyNTczMzEzMDY@._V1_QL75_UY148_CR2,0,100,148_.jpg;Parkoló;2014;92;6;https://www.youtube.com/watch?v=05W_jce4wAA&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=7&t=1366s
https://m.media-amazon.com/images/M/MV5BZWJjNTg1MmItZWQ2NC00NzI5LTgyZjYtZDRkMzIxNzI5ZDg4XkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Mancs;2015;92;2;https://www.youtube.com/watch?v=05W_jce4wAA&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=7&t=1531s
https://m.media-amazon.com/images/M/MV5BZmQyYTdkNzMtYWVjMS00MWRmLTgzYjktZGY2NmY4OTZmMGExXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY148_CR3,0,100,148_.jpg;Liza, a rókatündér;2015;98;6;https://www.youtube.com/watch?v=tvBGMjZz8Es&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=8&t=35s
https://m.media-amazon.com/images/M/MV5BNjNjZTJlZDktMTU4NC00ZTJjLWEwZWUtMWY0YjIzNTUxZGNkXkEyXkFqcGdeQXVyMzQ0ODIzMTg@._V1_QL75_UX100_CR0,1,100,148_.jpg;Manieggs - Egy kemény tojás bosszúja;2014;90;2;https://www.youtube.com/watch?v=tvBGMjZz8Es&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=8&t=268s
https://m.media-amazon.com/images/M/MV5BZGQ4OTBmN2QtODNlZC00M2NhLWE4NDMtZjE3ZmNkZTFmYTg5XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY148_CR2,0,100,148_.jpg;Délibáb;2014;90;6;https://www.youtube.com/watch?v=tvBGMjZz8Es&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=8&t=743s
https://m.media-amazon.com/images/M/MV5BMjQxMDYyMDQwM15BMl5BanBnXkFtZTgwMTgyNjk4NDE@._V1_QL75_UY148_CR4,0,100,148_.jpg;Lámpagyújtogatók;2015;107;1;https://www.youtube.com/watch?v=tvBGMjZz8Es&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=8&t=929s
https://m.media-amazon.com/images/M/MV5BZGJlOTc0ZWEtOTZkNS00ODk0LTk0OWQtMmU3MDhiM2U5OWUwXkEyXkFqcGdeQXVyMzU4MDAxNTU@._V1_QL75_UY148_CR2,0,100,148_.jpg;Argo 2;2014;95;4;https://www.youtube.com/watch?v=tvBGMjZz8Es&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=8&t=1410s
https://m.media-amazon.com/images/M/MV5BYWRhNGNhYmUtMWIwMy00NTU3LTljNGUtYTMyNDBiOGJkMjBlXkEyXkFqcGdeQXVyMTgwMjIwNjk@._V1_QL75_UY148_CR2,0,100,148_.jpg;Víkend;2015;100;3;https://www.youtube.com/watch?v=Gbv30OM-mKo&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=9&t=67s
https://m.media-amazon.com/images/M/MV5BMjU1MjA3N2MtZDFmMi00ZmZkLWFkMWQtMjdiZjllMjU1NWM5XkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Veszettek;2015;115;6;https://www.youtube.com/watch?v=Gbv30OM-mKo&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=9&t=356s
https://m.media-amazon.com/images/M/MV5BZGQwYzRjMmEtZGIxNi00NTNmLTk3ODktOWZjMGZjOTBlMGIwXkEyXkFqcGdeQXVyOTAzODAwOQ@@._V1_QL75_UY148_CR3,0,100,148_.jpg;Anyám és más futóbolondok a családból;2015;108;4;https://www.youtube.com/watch?v=Gbv30OM-mKo&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=9&t=620s
https://m.media-amazon.com/images/M/MV5BNWI2MzE3NzUtNDM5OS00MmY3LWEyN2QtOTVjMDNmNzMzMGQ5XkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX100_CR0,0,100,148_.jpg;Saul fia;2015;107;8;https://www.youtube.com/watch?v=Gbv30OM-mKo&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=9&t=1016s
https://m.media-amazon.com/images/M/MV5BYzNmY2Q1NGEtNjE5Yy00Y2EyLThkMGItZGE1YTJmNjhmODQ2XkEyXkFqcGdeQXVyMjMxOTA1NjA@._V1_QL75_UY148_CR3,0,100,148_.jpg;Janus;2015;76;3;https://www.youtube.com/watch?v=Gbv30OM-mKo&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=9&t=1362s
https://m.media-amazon.com/images/M/MV5BYmZjNTY4NWQtYTc1NC00MjhmLTkxYWMtYzQ5ZDJlYTdlOGU4XkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Az éjszakám a nappalod;2014;97;4;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=243s
https://m.media-amazon.com/images/M/MV5BMDUyNzFjODMtNjAzYy00MDVlLThjOGYtOTViYTRkOGNiYzJjXkEyXkFqcGdeQXVyNDIxNjgxOTQ@._V1_QL75_UY148_CR2,0,100,148_.jpg;Szerdai gyerek;2015;93;3;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=371s
https://m.media-amazon.com/images/M/MV5BMjA2NzU2MzA2OV5BMl5BanBnXkFtZTgwMjkzOTkxMDI@._V1_QL75_UX100_CR0,0,100,148_.jpg;#Jézus - Apám nevében;2016;117;1;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=574s
https://m.media-amazon.com/images/M/MV5BNjZiMTZjNWMtNTMyYy00NmNkLWE2ODItMTdmNzAwMmUyYTA0XkEyXkFqcGdeQXVyMjMxOTA1NjA@._V1_QL75_UX100_CR0,2,100,148_.jpg;A Guidebook to Killing Your Ex;2016;71;-1;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=815s
https://m.media-amazon.com/images/M/MV5BZDM4MzU2OTMtOTRlOS00M2ExLWJhMmMtMzk5MWEwYzAxZjYyL2ltYWdlXkEyXkFqcGdeQXVyMTg0MTI3Mg@@._V1_QL75_UY148_CR2,0,100,148_.jpg;A molyember incidens;2016;81;2;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=925s
https://m.media-amazon.com/images/M/MV5BNTkzOTM2MzgwOF5BMl5BanBnXkFtZTgwMDU4NjExNzE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Félvilág;2015;88;8;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=1185s
https://m.media-amazon.com/images/M/MV5BZGIwZGVkZjAtODk1Mi00NWYwLTg4ZjMtYzY2ZWZmMmVkMzU5XkEyXkFqcGdeQXVyMjM3ODk3MjA@._V1_QL75_UY148_CR1,0,100,148_.jpg;Az itt élő lelkek nagy része;2015;92;-1;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=1543s
https://m.media-amazon.com/images/M/MV5BYzRlZWNhYjctZjhiNy00ZTVjLWFkOTctNjNkNzAwZjBhYTNmXkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR3,0,100,148_.jpg;Gondolj rám;2016;103;4;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=1674s
https://m.media-amazon.com/images/M/MV5BNTFiOTI2YWMtZTdjYS00NDRhLWI4MmUtNWE2M2Y4ODg3ZjI1XkEyXkFqcGdeQXVyNjI5OTgyMjA@._V1_QL75_UY148_CR61,0,100,148_.jpg;A fekete bojtár;2015;86;2;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=1956s
https://m.media-amazon.com/images/M/MV5BOGU3ZTc4YjgtNzAwMC00ZmY3LTgwOTItMDg5ODFmNGJiMzFlXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_QL75_UY148_CR3,0,100,148_.jpg;Hajnali láz;2015;114;7;https://www.youtube.com/watch?v=eiDonaR5GBw&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=10&t=2191s
